date,open,high,low,close
19/01/2016,2117,2115.1,2144.8,2141
20/01/2016,2123.4,2038.1,2131.6,2050.1
21/01/2016,2048.8,2017.3,2092.1,2088.3
22/01/2016,2090.6,2073.3,2106.1,2086
25/01/2016,2081.1,2046.7,2092.8,2047.4
26/01/2016,2047,2028.5,2061,2044.8
27/01/2016,2042.9,2003.6,2053.9,2011.9
28/01/2016,1991.2,1977.5,2041,2015.3
29/01/2016,2013.6,2013.1,2054.7,2015.7
01/02/2016,2018.2,1994.3,2075.1,2069.8
02/02/2016,2067.5,1989.6,2071.7,1991.6
03/02/2016,2004.1,1965.7,2035.4,2019.7
04/02/2016,2012,1970.8,2045.8,1971.1
05/02/2016,1979.6,1970.4,2026.7,2003.3
08/02/2016,2006.9,1996.7,2067.3,2065.4
09/02/2016,2064.8,2013.2,2065,2038.8
10/02/2016,2039.9,2019.6,2072.4,2041.7
11/02/2016,2039.8,2018.2,2048.7,2018.5
12/02/2016,2015,2003.1,2068.3,2064
15/02/2016,2063.2,2034.4,2080.7,2044.2
16/02/2016,2034.1,2030,2067.8,2060.3
17/02/2016,2051.9,2047.3,2103,2089.3
18/02/2016,2077.1,2076.6,2116.8,2114.4
19/02/2016,2098.8,2064.5,2126.8,2071.5
22/02/2016,2065.4,2059,2131.9,2115.3
23/02/2016,2122.9,2093.3,2140.5,2135.1
24/02/2016,2139,2135.2,2186.1,2184
25/02/2016,2180.4,2179,2212.5,2195.3
26/02/2016,2181.5,2151.7,2212.9,2164.7
29/02/2016,2160.7,2152.1,2222,2213.9
01/03/2016,2200.4,2165.2,2210.9,2193.5
02/03/2016,2189.6,2156.9,2207.2,2189.3
03/03/2016,2194.7,2172.9,2210.3,2180.4
04/03/2016,2183.1,2182.6,2216.6,2210.6
07/03/2016,2201.2,2198.7,2225.2,2211.2
08/03/2016,2203.7,2175.2,2214.2,2187.8
09/03/2016,2193.2,2181.8,2230.1,2221.1
10/03/2016,2217.1,2214.1,2241,2240
11/03/2016,2235,2211.7,2250.1,2224.1
14/03/2016,2218.9,2207.4,2255.9,2253.9
15/03/2016,2254.7,2252.3,2266.7,2254.7
16/03/2016,2250.6,2240.1,2259.5,2257.5
17/03/2016,2250.3,2220.9,2263.4,2258.3
18/03/2016,2255.2,2247.7,2273.1,2252.1
21/03/2016,2252.5,2225.7,2265.6,2235.4
22/03/2016,2241.3,2220.3,2246.7,2230.6
23/03/2016,2239.5,2176.9,2242.6,2207.2
24/03/2016,2207.1,2171.8,2214.4,2200
29/03/2016,2193.8,2177.5,2200.2,2183.9
30/03/2016,2180.7,2169.3,2195,2171.8
31/03/2016,2165.4,2119.2,2176.4,2156.1
01/04/2016,2152.1,2125.7,2167.9,2131.7
04/04/2016,2128.6,2108.4,2139.5,2110.1
